2017,BARBERO Carlos,Caja Rural - Seguros RGA,Movistar Team,277,457
2017,VAN GENECHTEN Jonas,IAM Cycling,Cofidis,400,175
2017,HARDY Romain,Cofidis, Solutions Crédits,165,456
2017,NORDHAUG Lars Petter,Team Sky,Aqua Blue Sport,118,5
2017,CANOLA Marco,UnitedHealthcare Pro Cycling Team,Nippo - Vini Fantini,120,761
2017,PICHON Laurent,FDJ,Fortuneo - Oscaro,116,459
2017,MERLIER Tim,Crelan - Vastgoedservice,Vérandas Willems-Crelan,120,94
2017,LIGTHART Pim,Lotto Soudal,Roompot - Nederlandse Loterij,199,287
2017,ROSA Diego,Astana Pro Team,Team Sky,530,156
2017,JANS Roy,Wanty - Groupe Gobert,WB Veranclassic Aqua Protect,356,337
2017,MOSER Moreno,Cannondale-Drapac Pro Cycling Team,Astana Pro Team,260,18
2017,HOFLAND Moreno,Team LottoNL-Jumbo,Lotto Soudal,329,288
2017,DE KORT Koen,Team Giant - Alpecin,Trek - Segafredo,120,124
2017,MEURISSE Xandro,Crelan - Vastgoedservice,Wanty - Groupe Gobert,345,407
2017,PANTANO Jarlinson,IAM Cycling,Trek - Segafredo,739,305
2018,KRISTOFF Alexander,Team Katusha Alpecin,UAE-Team Emirates,2075,1344
2018,MARTIN Dan,Quick-Step Floors,UAE-Team Emirates,1579,997
2018,VIVIANI Elia,Team Sky,Quick-Step Floors,1364,2212
2018,POZZOVIVO Domenico,AG2R La Mondiale,Bahrain Merida Pro Cycling Team,1074,1172
2018,MORENO Daniel,Movistar Team,Team EF Education First-Drapac p/b Cannondale,269,87
2018,GERRANS Simon,ORICA-Scott,BMC Racing Team,387,209
2018,KITTEL Marcel,Quick-Step Floors,Team Katusha Alpecin,1111,315
2018,LANDA Mikel,Team Sky,Movistar Team,1303,866
2018,GALLOPIN Tony,Lotto Soudal,AG2R La Mondiale,966,540
2018,TRENTIN Matteo,Quick-Step Floors,Mitchelton-Scott,1285,555
2018,BRESCHEL Matti,Astana Pro Team,Team EF Education First-Drapac p/b Cannondale,112,122
2018,ARU Fabio,Astana Pro Team,UAE-Team Emirates,1207,411
2018,ROELANDTS Jürgen,Lotto Soudal,BMC Racing Team,230,327
2018,BRAJKOVIČ Janez,Bahrain Merida Pro Cycling Team,Adria Mobil,75,21
2018,NIEVE Mikel,Team Sky,Mitchelton-Scott,508,430
2018,HERMANS Ben,BMC Racing Team,Israel Cycling Academy,509,528
2018,MODOLO Sacha,UAE Team Emirates,Team EF Education First-Drapac p/b Cannondale,665,442
2018,BARGUIL Warren,Team Sunweb,Team Fortuneo - Samsic,947,424
2018,TAARAMÄE Rein,Team Katusha Alpecin,Direct Energie,153,327
2018,IZAGIRRE Gorka,Movistar Team,Bahrain Merida Pro Cycling Team,519,750
2018,PLAZA Rubén,ORICA-Scott,Israel Cycling Academy,42,211
2018,VAN POPPEL Danny,Team Sky,Team LottoNL-Jumbo,300,769
2018,CASTROVIEJO Jonathan,Movistar Team,Team Sky,588,443
2018,KEUKELEIRE Jens,ORICA-Scott,Lotto Soudal,599,313
2018,BRAMBILLA Gianluca,Quick-Step Floors,Trek - Segafredo,182,468
2018,FORMOLO Davide,Cannondale-Drapac Pro Cycling Team,BORA - hansgrohe,256,788
2018,SLAGTER Tom-Jelte,Cannondale-Drapac Pro Cycling Team,Team Dimension Data,366,311
2018,THEUNS Edward,Trek - Segafredo,Team Sunweb,630,227
2018,VAN BAARLE Dylan,Cannondale-Drapac Pro Cycling Team,Team Sky,311,340
2018,MEINTJES Louis,UAE Team Emirates,Team Dimension Data,745,132
2018,OSS Daniel,BMC Racing Team,BORA - hansgrohe,210,136
2018,MOHORIČ Matej,UAE Team Emirates,Bahrain Merida Pro Cycling Team,419,937
2018,SERPA José Rodolfo,Lampre - Merida,GW - Shimano,6,5
2018,LOBATO Juan José,Team LottoNL-Jumbo,Nippo - Vini Fantini - Europa Ovini,305,263
2018,HAAS Nathan,Team Dimension Data,Team Katusha Alpecin,508,448
2018,BÁRTA Jan,BORA - hansgrohe,Elkov - Author Cycling Team,187,119
2018,DE LA CRUZ David,Quick-Step Floors,Team Sky,615,559
2018,MØRKØV Michael,Team Katusha Alpecin,Quick-Step Floors,99,253
2018,MORENO Javier,Bahrain Merida Pro Cycling Team,Delko Marseille Provence KTM,64,298
2018,SBARAGLI Kristian,Team Dimension Data,Israel Cycling Academy,201,244
2018,GUARDINI Andrea,UAE Team Emirates,Bardiani - CSF,49,242
2018,DILLIER Silvan,BMC Racing Team,AG2R La Mondiale,581,455
2018,BETTIOL Alberto,Cannondale-Drapac Pro Cycling Team,BMC Racing Team,349,63
2018,SKUJIŅŠ Toms,Cannondale-Drapac Pro Cycling Team,Trek - Segafredo,173,514
2018,MOINARD Amaël,BMC Racing Team,Team Fortuneo - Samsic,96,53
2018,DOWSETT Alex,Movistar Team,Team Katusha Alpecin,143,114
2018,CAMPENAERTS Victor,Team LottoNL-Jumbo,Lotto Soudal,276,434
2018,BOECKMANS Kris,Lotto Soudal,Vital Concept Cycling Club,20,40
2018,VILLELLA Davide,Cannondale-Drapac Pro Cycling Team,Astana Pro Team,268,279
2018,HERRADA José,Movistar Team,Cofidis,144,105
2018,KUMP Marko,UAE Team Emirates,CCC Sprandi Polkowice,236,53
2018,KENNAUGH Peter,Team Sky,BORA - hansgrohe,120,230
2018,SUTHERLAND Rory,Movistar Team,UAE-Team Emirates,150,40
2018,FRAILE Omar,Team Dimension Data,Astana Pro Team,279,362
2018,BAUER Jack,Quick-Step Floors,Mitchelton-Scott,151,145
2018,BEVIN Patrick,Cannondale-Drapac Pro Cycling Team,BMC Racing Team,170,427
2018,VALLS Rafael,Lotto Soudal,Movistar Team,243,30
2018,WIPPERT Wouter,Cannondale-Drapac Pro Cycling Team,Roompot - Nederlandse Loterij,278,281
2018,SINKELDAM Ramon,Team Sunweb,Groupama - FDJ,166,142
2018,REGUIGUI Youcef,Team Dimension Data,Sovac - Natura4Ever,76,179
2018,DE BIE Sean,Lotto Soudal,Vérandas Willems-Crelan,68,417
2018,KOREN Kristijan,Cannondale-Drapac Pro Cycling Team,Bahrain Merida Pro Cycling Team,49,82
2018,LE BON Johan,FDJ,Vital Concept Cycling Club,196,101
2018,VERMOTE Julien,Quick-Step Floors,Team Dimension Data,210,135
2018,MANZIN Lorrenzo,FDJ,Vital Concept Cycling Club,201,287
2018,EIKING Odd Christian,FDJ,Wanty - Groupe Gobert,231,207
2018,HOULE Hugo,AG2R La Mondiale,Astana Pro Team,152,236
2018,DOCKER Mitchell,ORICA-Scott,Team EF Education First-Drapac p/b Cannondale,167,69
2018,BYSTRØM Sven Erik,Team Katusha Alpecin,UAE-Team Emirates,119,121
2018,TEKLEHAIMANOT Daniel,Team Dimension Data,Cofidis,55,43
2018,PREIDLER Georg,Team Sunweb,Groupama - FDJ,79,248
